cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Coslada--piece--0-0--,3116.43,30,11.0736,30,
piece,Coslada--piece--0-1--,2855.19,6,11.1422,3,
piece,Coslada--piece--0-2--,0,0,0,0,
piece,Coslada--piece--0-3--,0,0,0,0,
piece,Coslada--piece--0-4--,0,0,0,0,
piece,Coslada--piece--0-5--,2400,1,0,0,
piece,Coslada--piece--0-6--,0,0,0,0,
piece,Coslada--piece--1-0--,2915.79,9,8.63636,1,
piece,Coslada--piece--1-1--,2583.33,1,0,0,
piece,Coslada--piece--1-2--,0,0,0,0,
piece,Coslada--piece--1-3--,0,0,0,0,
piece,Coslada--piece--1-4--,2229.96,16,10,1,
piece,Coslada--piece--1-5--,2732.78,9,0,0,
piece,Coslada--piece--1-6--,2524.75,1,0,0,
piece,Coslada--piece--2-0--,1936.95,5,7.57902,2,
piece,Coslada--piece--2-1--,2086.26,2,0,0,
piece,Coslada--piece--2-2--,0,0,0,0,
piece,Coslada--piece--2-3--,1760.92,5,0,0,
piece,Coslada--piece--2-4--,1904.73,28,9.65609,3,
piece,Coslada--piece--2-5--,2677.36,8,0,0,
piece,Coslada--piece--2-6--,0,0,0,0,
piece,Coslada--piece--3-0--,0,0,0,0,
piece,Coslada--piece--3-1--,0,0,0,0,
piece,Coslada--piece--3-2--,0,0,0,0,
piece,Coslada--piece--3-3--,2754.3,15,0,0,
piece,Coslada--piece--3-4--,2068.37,18,9.74881,2,
piece,Coslada--piece--3-5--,1902.96,8,0,0,
piece,Coslada--piece--3-6--,1873.89,3,0,0,
piece,Coslada--piece--4-0--,0,0,0,0,
piece,Coslada--piece--4-1--,0,0,0,0,
piece,Coslada--piece--4-2--,0,0,0,0,
piece,Coslada--piece--4-3--,2750.11,3,16,1,
piece,Coslada--piece--4-4--,1917.06,18,7.96296,2,
piece,Coslada--piece--4-5--,1740.97,7,0,0,
piece,Coslada--piece--4-6--,2129.73,4,0,0,
piece,Coslada--piece--5-0--,0,0,0,0,
piece,Coslada--piece--5-1--,0,0,0,0,
piece,Coslada--piece--5-2--,0,0,0,0,
piece,Coslada--piece--5-3--,2018.02,3,0,0,
piece,Coslada--piece--5-4--,2063,11,0,0,
piece,Coslada--piece--5-5--,1689.4,7,0,0,
piece,Coslada--piece--5-6--,1730.17,15,0,0,
piece,Coslada--piece--6-0--,388.106,1,11.9873,8,
piece,Coslada--piece--6-1--,0,0,0,0,
piece,Coslada--piece--6-2--,0,0,0,0,
piece,Coslada--piece--6-3--,1968.09,7,8,1,
piece,Coslada--piece--6-4--,2252.28,24,0,0,
piece,Coslada--piece--6-5--,1701.07,12,10,1,
piece,Coslada--piece--6-6--,1714.41,13,0,0,
piece,Coslada--piece--7-0--,0,0,0,0,
piece,Coslada--piece--7-1--,927.5,1,0,0,
piece,Coslada--piece--7-2--,1731.25,2,0,0,
piece,Coslada--piece--7-3--,1866.79,27,10.7143,1,
piece,Coslada--piece--7-4--,1935.19,29,8.25092,2,
piece,Coslada--piece--7-5--,1747.36,14,0,0,
piece,Coslada--piece--7-6--,2180.6,8,0,0,
piece,Coslada--piece--8-0--,0,0,0,0,
piece,Coslada--piece--8-1--,1726.79,12,0,0,
piece,Coslada--piece--8-2--,1600,1,0,0,
piece,Coslada--piece--8-3--,2100.49,15,8,1,
piece,Coslada--piece--8-4--,1908.27,27,11.1006,3,
piece,Coslada--piece--8-5--,2700.25,2,0,0,
piece,Coslada--piece--8-6--,0,0,0,0,
piece,Coslada--piece--9-0--,0,0,0,0,
piece,Coslada--piece--9-1--,0,0,0,0,
piece,Coslada--piece--9-2--,1660.19,2,9.66667,1,
piece,Coslada--piece--9-3--,2300.67,20,11.5,2,
piece,Coslada--piece--9-4--,1750.82,13,9,1,
piece,Coslada--piece--9-5--,2296.25,6,10.3452,4,
piece,Coslada--piece--9-6--,0,0,0,0,
