cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Alcorcón--piece--0-0--,0,0,0,0,
piece,Alcorcón--piece--0-1--,0,0,0,0,
piece,Alcorcón--piece--0-2--,0,0,0,0,
piece,Alcorcón--piece--0-3--,0,0,0,0,
piece,Alcorcón--piece--0-4--,0,0,0,0,
piece,Alcorcón--piece--0-5--,2529.75,17,9.35165,7,
piece,Alcorcón--piece--0-6--,1982.55,21,0,0,
piece,Alcorcón--piece--0-7--,1766.84,21,9.07639,2,
piece,Alcorcón--piece--1-0--,0,0,0,0,
piece,Alcorcón--piece--1-1--,0,0,0,0,
piece,Alcorcón--piece--1-2--,0,0,0,0,
piece,Alcorcón--piece--1-3--,0,0,0,0,
piece,Alcorcón--piece--1-4--,0,0,0,0,
piece,Alcorcón--piece--1-5--,3125,1,9.77011,1,
piece,Alcorcón--piece--1-6--,2286.75,9,0,0,
piece,Alcorcón--piece--1-7--,1809.73,16,0,0,
piece,Alcorcón--piece--10-0--,0,0,0,0,
piece,Alcorcón--piece--10-1--,1863.33,1,0,0,
piece,Alcorcón--piece--10-2--,2373.88,10,11.8582,2,
piece,Alcorcón--piece--10-3--,2746.71,9,9.24823,3,
piece,Alcorcón--piece--10-4--,2649.54,3,11.764,2,
piece,Alcorcón--piece--10-5--,0,0,0,0,
piece,Alcorcón--piece--10-6--,0,0,0,0,
piece,Alcorcón--piece--10-7--,0,0,0,0,
piece,Alcorcón--piece--11-0--,0,0,0,0,
piece,Alcorcón--piece--11-1--,0,0,0,0,
piece,Alcorcón--piece--11-2--,2908.35,9,12.069,1,
piece,Alcorcón--piece--11-3--,1960.53,1,0,0,
piece,Alcorcón--piece--11-4--,0,0,0,0,
piece,Alcorcón--piece--11-5--,0,0,0,0,
piece,Alcorcón--piece--11-6--,0,0,0,0,
piece,Alcorcón--piece--11-7--,0,0,0,0,
piece,Alcorcón--piece--2-0--,0,0,0,0,
piece,Alcorcón--piece--2-1--,0,0,0,0,
piece,Alcorcón--piece--2-2--,0,0,0,0,
piece,Alcorcón--piece--2-3--,0,0,0,0,
piece,Alcorcón--piece--2-4--,2164.28,4,14.1837,1,
piece,Alcorcón--piece--2-5--,0,0,0,0,
piece,Alcorcón--piece--2-6--,0,0,0,0,
piece,Alcorcón--piece--2-7--,0,0,0,0,
piece,Alcorcón--piece--3-0--,0,0,0,0,
piece,Alcorcón--piece--3-1--,0,0,0,0,
piece,Alcorcón--piece--3-2--,0,0,0,0,
piece,Alcorcón--piece--3-3--,2723.09,3,0,0,
piece,Alcorcón--piece--3-4--,2667.66,6,7.5,1,
piece,Alcorcón--piece--3-5--,1856.52,2,0,0,
piece,Alcorcón--piece--3-6--,1897.78,1,0,0,
piece,Alcorcón--piece--3-7--,2095.03,2,9.88889,1,
piece,Alcorcón--piece--4-0--,0,0,0,0,
piece,Alcorcón--piece--4-1--,0,0,0,0,
piece,Alcorcón--piece--4-2--,1497.64,3,0,0,
piece,Alcorcón--piece--4-3--,2075.47,1,0,0,
piece,Alcorcón--piece--4-4--,2252.23,4,0,0,
piece,Alcorcón--piece--4-5--,2491.01,8,9.87233,4,
piece,Alcorcón--piece--4-6--,2177.34,10,0,0,
piece,Alcorcón--piece--4-7--,2137.64,5,10.3846,1,
piece,Alcorcón--piece--5-0--,0,0,0,0,
piece,Alcorcón--piece--5-1--,0,0,0,0,
piece,Alcorcón--piece--5-2--,2321.43,1,8.69048,1,
piece,Alcorcón--piece--5-3--,1913.9,29,11.1659,5,
piece,Alcorcón--piece--5-4--,2100.74,30,10.7143,2,
piece,Alcorcón--piece--5-5--,2551.76,4,8.59624,5,
piece,Alcorcón--piece--5-6--,2468.94,9,9.02778,1,
piece,Alcorcón--piece--5-7--,0,0,0,0,
piece,Alcorcón--piece--6-0--,0,0,0,0,
piece,Alcorcón--piece--6-1--,1663.33,2,0,0,
piece,Alcorcón--piece--6-2--,2240.55,4,6.9,1,
piece,Alcorcón--piece--6-3--,1835.1,29,10.2422,10,
piece,Alcorcón--piece--6-4--,1782.77,30,9.26972,7,
piece,Alcorcón--piece--6-5--,2329.66,13,9.48276,1,
piece,Alcorcón--piece--6-6--,2208.04,13,0,0,
piece,Alcorcón--piece--6-7--,2387.45,3,0,0,
piece,Alcorcón--piece--7-0--,0,0,0,0,
piece,Alcorcón--piece--7-1--,4.20875,1,0,0,
piece,Alcorcón--piece--7-2--,2309.22,10,9.61539,1,
piece,Alcorcón--piece--7-3--,2016.63,24,9.92147,4,
piece,Alcorcón--piece--7-4--,2072.28,10,9.61587,4,
piece,Alcorcón--piece--7-5--,2212.4,4,11.25,1,
piece,Alcorcón--piece--7-6--,2877.43,3,0,0,
piece,Alcorcón--piece--7-7--,0,0,10,1,
piece,Alcorcón--piece--8-0--,0,0,0,0,
piece,Alcorcón--piece--8-1--,2430.56,1,0,0,
piece,Alcorcón--piece--8-2--,2143.24,11,6.94444,1,
piece,Alcorcón--piece--8-3--,2221.67,22,9.3658,4,
piece,Alcorcón--piece--8-4--,2206.98,11,0,0,
piece,Alcorcón--piece--8-5--,1353.64,2,0,0,
piece,Alcorcón--piece--8-6--,0,0,0,0,
piece,Alcorcón--piece--8-7--,0,0,0,0,
piece,Alcorcón--piece--9-0--,0,0,0,0,
piece,Alcorcón--piece--9-1--,1703.86,2,0,0,
piece,Alcorcón--piece--9-2--,1954.52,17,9.77849,4,
piece,Alcorcón--piece--9-3--,2522.36,18,10.0993,4,
piece,Alcorcón--piece--9-4--,2183.8,3,0,0,
piece,Alcorcón--piece--9-5--,0,0,0,0,
piece,Alcorcón--piece--9-6--,0,0,0,0,
piece,Alcorcón--piece--9-7--,0,0,0,0,
